timestamp,actor,role,action,details,isRead
2026-03-14T22:03:31.365317,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T22:03:23.149364,10021,EMPLOYEE,LOGOUT,10021 signed out.,false
2026-03-14T22:03:05.409401,10021,EMPLOYEE,LEAVE_SUBMITTED,Submitted Sick Leave from 2026-03-01 to 2026-03-05.,true
2026-03-14T22:02:34.83704,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,false
2026-03-14T21:42:02.569876,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T21:42:00.286508,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T21:41:58.124231,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T21:41:49.820702,10021,EMPLOYEE,LOGOUT,10021 signed out.,false
2026-03-14T21:37:10.765009,10021,EMPLOYEE,ATTENDANCE_TIME_IN,Attendance for today is already complete. Employee 10021.,false
2026-03-14T21:36:59.558087,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,false
2026-03-14T21:35:55.82404,10021,EMPLOYEE,LOGOUT,10021 signed out.,false
2026-03-14T21:35:52.290696,10021,EMPLOYEE,ATTENDANCE_TIME_OUT,You are already timed out for today. Employee 10021.,false
2026-03-14T21:35:40.298813,10021,EMPLOYEE,ATTENDANCE_TIME_IN,Attendance for today is already complete. Employee 10021.,false
2026-03-14T21:33:14.324835,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T21:33:07.615685,10021,EMPLOYEE,LOGOUT,10021 signed out.,false
2026-03-14T21:29:26.330107,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,false
2026-03-14T21:27:22.202513,10021,EMPLOYEE,ATTENDANCE_TIME_OUT,You are already timed out for today. Employee 10021.,false
2026-03-14T21:20:12.402802,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T21:20:03.996854,10001,EMPLOYEE,LOGOUT,10001 signed out.,false
2026-03-14T21:18:36.801828,10001,EMPLOYEE,LOGIN,10001 signed in to the EMPLOYEE dashboard.,false
2026-03-14T21:18:19.499231,payroll1,FINANCE,LOGOUT,payroll1 signed out.,false
2026-03-14T21:11:27.088291,payroll1,FINANCE,PAYROLL_PROCESSED,Processed 34 payroll records for 2024-12 | Monthly Summary | Dec 01; 2024 - Dec 31; 2024.,false
2026-03-14T21:10:11.745992,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T21:09:57.69869,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T21:08:27.961465,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T21:08:22.065327,10021,EMPLOYEE,LOGOUT,10021 signed out.,false
2026-03-14T21:05:56.030662,10021,EMPLOYEE,ATTENDANCE_TIME_IN,Attendance for today is already complete. Employee 10021.,true
2026-03-14T21:05:53.446982,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T21:05:43.970516,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T21:05:23.615039,hr1,HR,LEAVE_REJECTED,Rejected leave for employee 10021 from 2026-03-15 to 2026-03-31.,true
2026-03-14T21:02:50.325111,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T21:02:44.421755,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T21:02:42.008857,10021,EMPLOYEE,LEAVE_SUBMITTED,Submitted Vacation Leave from 2024-06-22 to 2024-06-26.,true
2026-03-14T21:02:23.613814,10021,EMPLOYEE,ATTENDANCE_TIME_OUT,You are already timed out for today. Employee 10021.,true
2026-03-14T21:02:18.734465,10021,EMPLOYEE,ATTENDANCE_TIME_IN,Attendance for today is already complete. Employee 10021.,true
2026-03-14T21:02:16.00717,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T21:02:07.838907,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T21:00:41.850694,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T21:00:35.291696,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T20:59:39.488386,10021,EMPLOYEE,ATTENDANCE_TIME_OUT,You are already timed out for today. Employee 10021.,true
2026-03-14T20:59:29.090437,10021,EMPLOYEE,ATTENDANCE_TIME_IN,Attendance for today is already complete. Employee 10021.,true
2026-03-14T20:56:47.938245,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T20:56:07.824876,10021,EMPLOYEE,ATTENDANCE_TIME_OUT,Time out recorded successfully. Employee 10021.,true
2026-03-14T20:56:00.052287,10021,EMPLOYEE,ATTENDANCE_TIME_IN,You are already timed in for today. Employee 10021.,true
2026-03-14T20:55:08.608797,10021,EMPLOYEE,LEAVE_SUBMITTED,Submitted Vacation Leave from 2024-06-01 to 2024-06-15.,true
2026-03-14T20:54:18.774931,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T20:30:58.787816,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T20:30:52.567359,admin,ADMIN,LOGOUT,admin signed out.,false
2026-03-14T20:29:41.537289,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T20:24:45.35893,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T20:24:39.52325,payroll1,FINANCE,LOGOUT,payroll1 signed out.,false
2026-03-14T20:24:31.632741,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T20:24:25.027974,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T20:23:50.570188,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T20:23:34.971125,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T20:23:09.17333,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T20:22:39.969266,admin,ADMIN,LOGOUT,admin signed out.,false
2026-03-14T20:22:29.371545,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T20:22:20.972431,it1,IT,LOGOUT,it1 signed out.,false
2026-03-14T20:21:58.288092,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T20:21:51.62154,admin,ADMIN,LOGOUT,admin signed out.,false
2026-03-14T20:18:45.613203,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T20:09:09.287346,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T20:07:52.780585,admin,ADMIN,LOGOUT,admin signed out.,false
2026-03-14T20:06:46.904187,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T19:54:29.513275,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T19:53:41.029205,it1,IT,LOGOUT,it1 signed out.,false
2026-03-14T19:52:53.202454,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T19:42:17.866878,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T19:38:12.984942,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T19:38:04.248691,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T19:37:20.45112,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T19:37:10.515985,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T19:36:35.32177,10021,EMPLOYEE,ATTENDANCE_TIME_IN,Time in recorded successfully. Employee 10021.,true
2026-03-14T19:36:23.529415,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T19:32:37.524613,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T19:32:30.43712,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T19:32:13.820118,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T19:27:07.983824,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T19:27:01.159729,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T19:26:11.628021,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T19:26:05.377201,payroll1,FINANCE,LOGOUT,payroll1 signed out.,false
2026-03-14T19:25:37.598676,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T19:20:03.61732,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T19:19:56.701053,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T19:19:50.368737,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T19:19:38.134387,payroll1,PAYROLL,LOGOUT,payroll1 signed out.,false
2026-03-14T19:19:28.923257,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T19:16:43.521047,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T19:16:34.73725,payroll1,PAYROLL,LOGOUT,payroll1 signed out.,false
2026-03-14T19:12:31.777256,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T19:12:09.544259,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T19:12:02.374543,10001,EMPLOYEE,LOGOUT,10001 signed out.,false
2026-03-14T19:11:52.856783,10001,EMPLOYEE,LOGIN,10001 signed in to the EMPLOYEE dashboard.,false
2026-03-14T19:11:35.190407,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T19:11:14.408262,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T19:11:07.458962,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T19:10:30.491338,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T19:10:23.556994,payroll1,PAYROLL,LOGOUT,payroll1 signed out.,false
2026-03-14T19:07:50.948171,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T19:03:35.829432,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T18:50:46.144454,payroll1,PAYROLL,PAYROLL_PROCESSED,Processed 34 payroll records for 2024-06 | 1-15 | Jun 01; 2024 - Jun 15; 2024.,false
2026-03-14T18:50:08.420308,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T18:30:53.535038,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T18:20:49.295183,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T18:18:48.210918,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T18:15:51.942037,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T18:15:18.524969,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T18:09:03.124735,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T18:08:09.967836,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T18:07:53.34983,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T18:02:07.43627,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T17:59:06.599533,it1,IT,LOGOUT,it1 signed out.,false
2026-03-14T17:58:44.104285,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T17:58:37.854371,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T17:49:41.778463,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T17:49:34.410886,10001,EMPLOYEE,LOGOUT,10001 signed out.,false
2026-03-14T17:47:40.204319,10001,EMPLOYEE,LOGIN,10001 signed in to the EMPLOYEE dashboard.,true
2026-03-14T17:47:40.184592,10001,EMPLOYEE,PASSWORD_CHANGED,10001 updated the account password.,true
2026-03-14T17:43:42.655909,it1,IT,LOGOUT,it1 signed out.,false
2026-03-14T17:43:33.191102,it1,IT,PASSWORD_RESET,Password was reset to the default value for user 10001.,true
2026-03-14T17:43:25.056837,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T17:42:45.277728,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T17:41:30.252849,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T17:41:19.815554,payroll1,PAYROLL,LOGOUT,payroll1 signed out.,false
2026-03-14T17:39:06.85529,payroll1,PAYROLL,LOGIN,payroll1 signed in to the PAYROLL dashboard.,false
2026-03-14T17:38:54.801696,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T17:37:41.015024,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T17:37:35.019108,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T17:36:56.53954,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T17:36:56.531911,10021,EMPLOYEE,PASSWORD_CHANGED,10021 updated the account password.,true
2026-03-14T17:18:13.760951,it1,IT,PASSWORD_RESET,Password was reset to the default value for user 10021.,true
2026-03-14T17:17:21.990283,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T17:17:03.523817,admin,ADMIN,LOGOUT,admin signed out.,false
2026-03-14T17:16:38.092016,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T17:16:15.190373,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T17:10:46.047624,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T17:00:00.98014,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T16:45:36.914699,10021,EMPLOYEE,LEAVE_SUBMITTED,Submitted Vacation Leave from 2026-03-01 to 2026-03-31.,true
2026-03-14T16:43:38.292632,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T16:43:21.475947,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T16:42:50.801029,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T16:41:25.793256,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T16:26:34.753121,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T16:18:56.082218,hr1,HR,LOGIN,hr1 signed in to the HR dashboard.,false
2026-03-14T16:15:30.401495,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T16:12:21.625075,it1,IT,PASSWORD_RESET,Password was reset to the default value for user 10032.,false
2026-03-14T16:11:35.946801,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
2026-03-14T16:08:08.028373,10021,EMPLOYEE,LOGOUT,10021 signed out.,true
2026-03-14T16:00:07.744024,10021,EMPLOYEE,LOGIN,10021 signed in to the EMPLOYEE dashboard.,true
2026-03-14T22:04:15.597445,hr1,HR,LOGOUT,hr1 signed out.,false
2026-03-14T22:04:27.395427,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:04:29.0816,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:04:32.90009,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:04:48.364166,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:04:54.846324,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:04:59.82942,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:05:00.37946,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:05:20.247738,payroll1,FINANCE,LOGIN,payroll1 signed in to the FINANCE dashboard.,false
2026-03-14T22:05:35.662057,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T22:05:37.146229,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T22:05:37.813222,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T22:05:39.595807,admin,ADMIN,LOGIN,admin signed in to the ADMIN dashboard.,false
2026-03-14T22:05:47.376946,it1,IT,LOGIN,it1 signed in to the IT dashboard.,false
